X;Y;osm_id;type;name;operator;wheelchair;opening_hours;reception_opening_hours;stars;rooms;beds;internet_access;camp_site;fee;capacity;website;phone;facebook;email;com_insee;com_nom
-1.09878;45.9907287003439;node/10000794237;guest_house;Le Bois Vert;;;;;;;;;;;;;"+33663281350";;;"17168";Fouras
1.1426425;44.8408134004827;node/10004494720;hotel;Hôtel Pontet;;;;;;;;;;;;https://www.hostellerie-maleville.com/;+33 5 53 29 50 06;;hostellerie.maleville@orange.fr;"24040";Beynac-et-Cazenac
1.1422656;44.8398761004827;node/10004495728;hotel;Hôtel Restaurant du Château;;;;;;;;;;;;https://www.dordogne-perigord-tourisme.fr/offres/hotel-restaurant-du-chateau-beynac-et-cazenac-fr-2938615/;+33 5 53 29 19 20;;;"24040";Beynac-et-Cazenac
1.2153934;44.8900615004784;node/10011816829;hotel;Villa des consuls;;;;;;;;;;;;https://www.villaconsuls.fr/en;+33 05 53 31 90 05;;reception@villaconsuls.fr;"24520";Sarlat-la-Canéda
0.6292355;45.3703614004287;node/10016141231;guest_house;Le Clos-Bois;;;;;;;;yes;;;;;;;;"24064";Brantôme en Périgord
1.9271913;45.5975847004002;node/10023595886;chalet;Gîte des deux cloches;;;;;;"2";"8";;;"20";;http://deuxcloches.fr/;;;;"19033";Bugeat
-1.115422;44.6156322005004;node/10028389629;hotel;Zenitude Hôtel-Résidences - Arcachon;;;;;;;;wlan;;;;https://www.zenitude-hotel-residences.com/fr_FR/residence/la-teste-de-buch/167;+33 5 57 15 22 22;;arcachon@zenitude-groupe.com;"33529";La Teste-de-Buch
-0.432172;45.4457261004196;node/10031924102;hotel;Le Coq d'Or;;;;;;;;;;;;;;;;"17197";Jonzac
1.2542877;44.8674815004803;node/1003503920;guest_house;M.C Caminade;;;;;;;;;;;;;;;;"24520";Sarlat-la-Canéda
-0.569015;43.2244270005407;node/10042824232;chalet;;;;;;;;;;;;;;;;;"64245";Goès
0.1619022;45.6604966003919;node/10051043262;hotel;Hôtel Saint-Antoine;;;;;"3";;;;;;;;;;;"16015";Angoulême
-0.5676088;44.836544600483;node/10053309657;apartment;;;;;;;;;wlan;;;;;;;;"33063";Bordeaux
-1.7669535;43.3744960005419;node/10059419974;hotel;Hôtel Bar Valencia;;;;;;;;;;;;https://hotel-valencia-hendaye.com;+33 5 59 20 01 62;;hotelvalencia@orange.fr;"64260";Hendaye
-1.7630448;43.3754042005419;node/10059419975;hotel;Hôtel Uhainak;;;;;"3";;;;;;;https://www.hotel-uhainak.com/;+33 5 59 20 33 63;;hotel-uhainak-sarl@wanadoo.fr;"64260";Hendaye
-1.2963019;43.5344924005417;node/10060883731;chalet;Château de Larunque;Marion;;;;;;;wlan;;;;https://larunque.fr;+33 7 68 26 04 05;;contact@larunque.fr;"40268";Saint-Laurent-de-Gosse
1.2608582;45.8321932003677;node/10068143187;hotel;Mercure Accor Hotels;;;;;;;;;;;;;;;;"87085";Limoges
-0.6557311;43.7730841005387;node/10091659471;chalet;;;;;;;;;;;;;;;;;"40076";Cauna
-0.4192877;42.9934624005364;node/10093302310;chalet;Colonie de vacances;;;;;;;;;;;;;;;;"64110";Béost
0.638481;46.862877300189;node/10102031544;chalet;Villa de la Lunoterie;;;;;;;;;;;;https://villa-lunoterie.com/;;;;"86186";Oyré
1.3939682;45.8869818003597;node/10113388142;hotel;Le Relais du Taurion;;;;;"2";"6";;;;;;;;;;"87178";Saint-Priest-Taurion
-0.8763519;43.9146950005353;node/10113546999;chalet;Des abeilles sur le toit;Gîtes de France;;;;;;;no;;;;https://www.gites-de-france.com/fr/nouvelle-aquitaine/landes/des-abeilles-sur-le-toit-40g10438;;;;"40243";Rion-des-Landes
0.3620714;46.6700726002265;node/10113625467;hotel;Novotel Poitiers Futuroscope;;yes;;;;;;;;;;;;;;"86062";Chasseneuil-du-Poitou
0.1333697;45.6211892003971;node/10116247061;caravan_site;Aire de service camping-cars La Tourette;;;;;;;;;;;;http://jbensmai.fr/pommier/;+33 6 16 47 96 63;;pommiers.tourette@gmail.com;"16113";La Couronne
1.6160169;45.4974468004132;node/10120561686;chalet;C'est tout Vert;;;;;;;;;;;;https://www.gites-de-france.com/fr/nouvelle-aquitaine/correze/cest-tout-vert-19g3044;+33 6 33 85 51 15;;;"19060";Condat-sur-Ganaveix
0.2264175;46.01638790034;node/10121490919;hotel;Les Granges de la Leigne;;;;;;;;;;;;;;;;"16104";Condac
0.0324172;44.1962303005249;node/10124297549;caravan_site;;;;;;;;;;;;;;;;;"47119";Houeillès
0.3133279;46.5867557002422;node/10126997717;hotel;B&B hotel Poitiers aeroport;;;;;;;;;;;;;;;;"86027";Biard
1.1497667;45.6891723003879;node/10142456324;chalet;Moulin d'aixette;;;;;;;;wlan;;;;https://www.gites-de-france-hautevienne.fr/location-vacances-Gite-Le-Moulin-a-Nexon-87G6313.html;06 76 23 44 65;;;"87106";Nexon
0.3589649;44.6039741005012;node/1015011181;guest_house;La Demeure d'Architecte;;;;;;;;;;;;;;;;"47168";Miramont-de-Guyenne
0.7298604;44.8514205004818;node/10152505796;guest_house;Chambres d'hôtes du Maine;;;;;;;;wlan;;;;;;;;"24223";Lalinde
0.2010396;44.2551896005221;node/10155182807;caravan_site;;;;;;;;;;;;;;;;;"47058";Caubeyres
