X;Y;osm_id;type;name;operator;brand;opening_hours;wheelchair;cuisine;delivery;takeaway;stars;capacity;drive_through;wikidata;brand_wikidata;siret;phone;website;facebook;vegetarian;vegan;smoking;internet_access;com_insee;com_nom
1.2161946;44.8894060004784;node/10000003419;fast_food;;;;;;;;;;;;;;;;;;;;;;"24520";Sarlat-la-Canéda
1.2162614;44.8891717004784;node/10000003420;restaurant;Le Malraux;;;;;;;;;;;;;;;;;;;;;"24520";Sarlat-la-Canéda
1.2168239;44.8896769004784;node/10000007017;bar;Café du Marché;;;;;;;;;;;;;;;;;;;;;"24520";Sarlat-la-Canéda
1.2162624;44.8893397004784;node/10000007019;restaurant;La Cour des Poètes;;;;;;;;;;;;;;;;;;;;;"24520";Sarlat-la-Canéda
1.216509;44.8892971004784;node/10000007119;restaurant;La Cour des Poètes;;;;;;;;;;;;;;;;;;;;;"24520";Sarlat-la-Canéda
1.216117;44.8895359004784;node/10000007317;restaurant;L'Imprévu;;;;;;;;;;;;;;;;;;;;;"24520";Sarlat-la-Canéda
-0.263943;43.70096250054;node/10001482287;restaurant;Buenos Aire;;;;;argentinian;;;;;;;;;;;;;;;;"40001";Aire-sur-l'Adour
1.213685;44.8031348004859;node/10002020617;bar;Bistrot des Remparts;;;;;;;;;;;;;;;;;;;;;"24152";Domme
1.2143437;44.801258000486;node/10002020622;restaurant;Le Bistrot;;;;;;;;;;;;;;;;;;;;;"24152";Domme
1.2138205;44.801177200486;node/10002020624;bar;Hibiscus;;;;;;;;;;;;;;;;;;;;;"24152";Domme
1.2148558;44.8020001004859;node/10002020626;fast_food;Le Petit Ridingou;;;;;;;;;;;;;;;;;;;;;"24152";Domme
1.2143381;44.801576300486;node/10002022217;restaurant;Comptoir d'Annam;;;;no;vietnamese;;;;;;;;;;;;;;;;"24152";Domme
1.2147625;44.8022443004859;node/10002022717;ice_cream;Le p'tit Glacier;;;;;;;;;;;;;;;;;;;;;"24152";Domme
1.1662755;44.824881600484;node/10002427618;fast_food;;;;;yes;crepe;no;yes;;;no;;;;;;;;;;no;"24577";Vézac
1.16505;44.8931048004781;node/10002559217;fast_food;Bambino Pizza 24;;;;yes;pizza;no;yes;;;no;;;;;;;;;;no;"24366";Saint-André-d'Allas
-1.0899515;46.0704293003314;node/10003330343;restaurant;Chez Frédo;;;Th-Tu 17:00-23:00;yes;pizza;;;;;;;;;"+33546310003";;;yes;;;;"17094";Châtelaillon-Plage
0.3094941;44.3904036005149;node/10004059919;restaurant;La Cuisine Thaï de Lek;;;;;"asian;thai";;yes;;;;;;;;;;;;;;"47310";Tonneins
1.1279858;45.0302036004653;node/10004442470;cafe;Pause gourmande;;;"""Mêmes horaires que le château""";;;;;;;;;;;;;;yes;yes;;;"24552";Thonac
1.1422546;44.8396108004828;node/10004494628;bar;Le ti' Malo;;;;no;;;;;;;;;;;;;;;;;"24040";Beynac-et-Cazenac
1.1422656;44.8398761004827;node/10004495728;restaurant;Hôtel Restaurant du Château;;;;;;;;;;;;;;+33 5 53 29 19 20;https://www.dordogne-perigord-tourisme.fr/offres/hotel-restaurant-du-chateau-beynac-et-cazenac-fr-2938615/;;;;;;"24040";Beynac-et-Cazenac
1.1422088;44.8396824004828;node/10004495729;restaurant;Restaurant Maleville;;;;no;;;;;;;;;;;;;;;;;"24040";Beynac-et-Cazenac
1.1468949;44.8406128004827;node/10004496318;restaurant;Le Dandy;;;;limited;;;;;;;;;;;;;;;;;"24040";Beynac-et-Cazenac
1.1423141;44.8401254004827;node/10004496319;fast_food;;;;;no;;;;;;;;;;;;;;;;;"24040";Beynac-et-Cazenac
-1.4735781;43.4902814005419;node/10006339857;restaurant;Pottolo;;;;no;;;;;;;;;;;;;yes;;;;"64102";Bayonne
-1.502986;43.4846184005419;node/10006479769;restaurant;À la bonne heure;;;;;;;;;;;;;;;;;;;;;"64024";Anglet
-1.0255849;46.1385163003205;node/1000812143;fast_food;Kiki Pizz;;;"Mo-We 11:30-14:00,18:30-21:00; Fr-Sa 11:30-14:00,18:30-22:00; Su 18:30-22:00";;pizza;;;;;;;;;;;;;;;;"17109";Clavette
0.7204048;45.1831793004497;node/10008201523;restaurant;Oxalys;;;;;;;;;;;;;;;;;;;;;"24322";Périgueux
0.3671653;46.6703791002265;node/10008594192;restaurant;La Cascade;Futuroscope;;;;;;;;;;;;;;;;;;;;"86062";Chasseneuil-du-Poitou
1.1796043;44.8269839004838;node/10008817920;restaurant;Les Courtines;;;;;;;;;;;;;;;;;;;;;"24355";La Roque-Gageac
1.1831858;44.8255804004839;node/10008819317;bar;Le BistrO du Palmier;;;;;;;;;;;;;;;;;;;;;"24355";La Roque-Gageac
1.1819114;44.8260486004839;node/10008819318;fast_food;;;;;;sandwich;no;yes;;;;;;;;;;;;;;"24355";La Roque-Gageac
1.1813338;44.8262786004839;node/10008819519;restaurant;Chez Tom;;;;;pizza;;;;;;;;;;;;;;;;"24355";La Roque-Gageac
0.3688149;46.6684166002268;node/10009339079;fast_food;Crêpes Truck;Futuroscope;;;;;;;;;;;;;;;;;;;;"86062";Chasseneuil-du-Poitou
-0.3659519;43.2960680005414;node/10010062159;cafe;Co'thé chill;;;;;;;;;;;;;;;;;;;;;"64445";Pau
0.8719309;44.8118371004851;node/10011269418;restaurant;Galettes & Périgord;;;;;;;;;;;;;;;;;;;;;"24068";Le Buisson-de-Cadouin
1.1103222;44.8226511004842;node/10011269619;fast_food;;;;;;;;yes;;;;;;;;;;;;;;"24086";Castelnaud-la-Chapelle
0.8723045;44.8116341004851;node/10011272018;bar;Le Café chez Papi Jeannot;;;;;;;;;;;;;;;;;;;;;"24068";Le Buisson-de-Cadouin
0.8711053;44.8114476004851;node/10011272217;bar;Villa Marguerite;;;;;;;;;;;;;;;;;;;;;"24068";Le Buisson-de-Cadouin
0.3682008;46.6689246002267;node/10011787987;fast_food;Pop en Stock;;;;;;;;;;;;;;;;;;;;;"86062";Chasseneuil-du-Poitou
1.21531;44.8900489004784;node/10011816830;bar;La lune poivre;;;;;;;;;;;;;;;https://www.facebook.com/pages/La%20Lune%20Poivre/704662529560887/;;;;;;"24520";Sarlat-la-Canéda
1.2156856;44.8910465004783;node/10011816831;restaurant;Coin-coin;;;Mo-Sa 11:00-23:00;;regional;;;;;;;;;"+33524151292";https://coincoin-sarlat.fr;;;;;;"24520";Sarlat-la-Canéda
1.215518;44.8908924004783;node/10011816832;restaurant;Le Buffet de la Traverse;;;Mo-Su 09:00-23:30;;regional;;;;;;;;;+336 43 19 90 64;https://buffet-traverse-sarlat.fr/;;;;;;"24520";Sarlat-la-Canéda
1.2166875;44.8883288004785;node/10011816833;restaurant;Le petit bistrot;;;;;regional;;;;;;;;;+335 53 29 17 80;http://www.lepetitbistrot-sarlat.com/;;;;;;"24520";Sarlat-la-Canéda
1.1612781;45.0657325004618;node/10012201422;bar;Le Tavernaki;;;;;;;;;;;;;;;;;;;;;"24291";Montignac-Lascaux
1.3230117;44.9737351004707;node/10013290020;bar;Café de la Place;;;;;;;;;;;;;;;;;;;;;"24516";Salignac-Eyvigues
