X;Y;osm_id;type;name;operator;wheelchair;access;opening_hours;fee;supervised;for_everyone;for_child;for_women;for_men;drinking_water;toilets_disposal;toilets_position;paper_supplied;handwashing;changing_table;com_insee;com_nom
-0.5077147;43.8948256005358;node/10000045035;toilettes_publiques;;;;;;;;;;;;;;;;;;"40192";Mont-de-Marsan
-0.5181598;43.8954567005358;node/10000045054;toilettes_publiques;;;;yes;;;;;;;;;;;;;;"40192";Mont-de-Marsan
1.1281335;45.0304501004653;node/10004442481;toilettes_publiques;;;yes;;;no;;;;;;;;;;;;"24552";Thonac
-1.1192268;45.9610826003485;node/10009628818;toilettes_publiques;;;;;;;;;;;;;;;;;;"17484";Port-des-Barques
1.110413;44.8226478004842;node/10011269817;toilettes_publiques;;;yes;;;;;;;;;;pitlatrine;;;;;"24086";Castelnaud-la-Chapelle
-1.7381802;43.3309111005417;node/10012830209;toilettes_publiques;;;;;;;;;;;;;;;;;;"64130";Biriatou
-1.1044929;43.5456168005417;node/10012833208;toilettes_publiques;;;;;;;;;;;;;;;;;;"40224";Peyrehorade
-0.2076103;43.1249177005392;node/10012840747;toilettes_publiques;;;;;;;;;;;;;;;;;;"64339";Lestelle-Bétharram
-0.6237946;43.398413300542;node/10012851197;toilettes_publiques;;;;;;;;;;;;;;;;;;"64003";Abidos
-0.9245579;43.470155800542;node/10012853542;toilettes_publiques;;;;;;;;;;;;;;;;;;"64499";Salies-de-Béarn
-0.5062721;43.3352974005417;node/10012870445;toilettes_publiques;;;;;;;;;;;;;;;;;;"64037";Arbus
1.3224646;44.9744689004707;node/10013290026;toilettes_publiques;;;yes;yes;;no;;;;;;;flush;;;;no;"24516";Salignac-Eyvigues
-1.4236388;43.469231600542;node/10015221261;toilettes_publiques;;;;yes;;;;;;;;;;;;;;"64407";Mouguerre
-1.4127868;46.2274099003058;node/10015681217;toilettes_publiques;;;;;;;;;;;;;;;;;;"17207";Loix
-1.4309539;46.1908226003119;node/10016061117;toilettes_publiques;;;;;;;;;;;;;;;;;;"17121";La Couarde-sur-Mer
1.4796846;46.0538218003341;node/10017626744;toilettes_publiques;;;;;;;;;;;;;;;;;;"87181";Saint-Sulpice-Laurière
-0.5174826;46.9318643001751;node/10017742586;toilettes_publiques;;;;;;;;;;;;;;;;;;"79242";Voulmentin
1.2020059;45.5105666004115;node/10027058837;toilettes_publiques;;;yes;;;;;;;;;;;;;;;"87187";Saint-Yrieix-la-Perche
